LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LEN	LINEAR_DOC	ROLLUP_DOC	REL_ABUNDANCE	LINEAR_COV	LINEAR_COV_MAPPED_SIG	BEST_LINEAR_COV	MAPPED_SIG_LENGTH	TOL_SIG_LENGTH	ABUNDANCE	ZSCORE	NOTE
class	Opitutae	414999	2468	176440	8194	72861	2.421597	0.061505	0.001798	0.025399	0.536630	0.025399	135775	2868688	0.061505	6.194519	
class	Deltaproteobacteria	28221	2058	177726	3030	125328	1.418087	0.030938	0.000904	0.021816	0.616741	0.021816	203210	5744644	0.030938	6.696034	
class	Acidobacteria subdivision 6	1813735	1194	104493	5363	67894	1.539061	0.018356	0.000537	0.011926	0.423034	0.011926	160493	5692709	0.018356	9.102033	
class	Deinococci	188787	313	23714	231	15640	1.516240	0.015185	0.000444	0.010015	0.687080	0.010015	22763	1561678	0.015185	9.942411	
order	Streptomycetales	85011	667033	47437004	930666	2154426	22.018396	19.270016	0.563353	0.140289	0.825164	0.549153	2610906	15357015	19.270016	0.906082	
order	Rhizobiales	356	104673	9291829	255645	2920242	3.181870	3.813543	0.111488	0.074315	0.662155	0.611453	4410208	39295413	3.813543	0.797151	
order	Caudovirales	28883	874	69225	1982	11806	5.863544	3.233062	0.094518	0.165770	0.825075	0.481577	14309	71219	3.233062	1.037550	
order	Micromonosporales	85008	82511	6291656	165350	1307416	4.812283	2.018648	0.059015	0.419478	0.805541	0.419478	1623029	3116767	2.018648	1.176399	
order	Corynebacteriales	85007	36576	2746376	95895	1292433	2.124966	1.191567	0.034835	0.038413	0.628333	0.183319	2056923	33645974	1.191567	2.110684	
order	Streptosporangiales	85012	48142	3123771	107005	478111	6.533569	1.144520	0.033460	0.036144	0.654746	0.051236	730224	13227871	1.144520	4.303213	
order	Nitrosomonadales	32003	26287	2811549	78931	1268910	2.215720	0.975598	0.028521	0.215895	0.659516	0.373453	1924003	5877450	0.975598	1.295266	
order	Pseudomonadales	72274	3508	282090	4371	184467	1.529217	0.403110	0.011785	0.020431	0.577242	0.032188	319566	9028988	0.403110	5.483383	
order	Xanthomonadales	135614	7448	547313	13965	315922	1.732431	0.343346	0.010038	0.037211	0.625570	0.095405	505015	8490111	0.343346	3.079233	
order	Rhodobacterales	204455	5840	438365	1673	269404	1.627166	0.314342	0.009190	0.098784	0.752435	0.180048	358043	2727200	0.314342	2.134030	
order	Sphingomonadales	204457	7074	582365	15398	398753	1.460466	0.285030	0.008333	0.027273	0.593081	0.071524	672341	14620776	0.285030	3.602972	
order	Burkholderiales	80840	6963	529888	15083	329041	1.610401	0.264442	0.007731	0.055327	0.637496	0.075051	516146	5947177	0.264442	3.510584	
order	Micrococcales	85006	2924	236412	1859	160512	1.472862	0.152987	0.004473	0.028455	0.657400	0.041535	244162	5640859	0.152987	4.803768	
order	Flavobacteriales	200644	2940	218211	8959	62178	3.509457	0.129252	0.003779	0.018689	0.621743	0.025581	100006	3326988	0.129252	6.171871	
order	Chitinophagales	1853229	7092	677219	29371	480892	1.408256	0.116501	0.003406	0.029608	0.452845	0.040155	1061935	16241994	0.116501	4.889147	
order	Caulobacterales	204458	3227	268238	11663	171458	1.564453	0.103619	0.003029	0.034600	0.472968	0.045502	362515	4955466	0.103619	4.580046	
order	Propionibacteriales	85009	2093	179736	2507	96854	1.855742	0.094173	0.002753	0.026080	0.654875	0.034287	147897	3713795	0.094173	5.307106	
order	Enterobacterales	91347	116	9852	101	7193	1.369665	0.084826	0.002480	0.015230	0.646039	0.019111	11134	472286	0.084826	7.164191	
order	Pseudonocardiales	85010	4305	274677	9840	121354	2.263436	0.062987	0.001841	0.027828	0.624188	0.027828	194419	4360868	0.062987	5.910592	
order	Opitutales	415000	2468	176440	8194	72861	2.421597	0.061505	0.001798	0.025399	0.536630	0.025399	135775	2868688	0.061505	6.194519	
order	Rhodospirillales	204441	2690	190959	8793	113372	1.684358	0.047702	0.001395	0.013884	0.496405	0.017288	228386	8165481	0.047702	7.539513	
order	Myxococcales	29	2058	177726	3030	125328	1.418087	0.030938	0.000904	0.021816	0.616741	0.021816	203210	5744644	0.030938	6.696034	
order	Nevskiales	1775403	1263	89954	3722	56974	1.578861	0.030707	0.000898	0.019449	0.587470	0.019449	96982	2929428	0.030707	7.100488	
order	Vicinamibacteraceae - no_o_rank	0	1194	104493	5363	67894	1.539061	0.018356	0.000537	0.011926	0.423034	0.011926	160493	5692709	0.018356	9.102033	
order	Deinococcales	118964	313	23714	231	15640	1.516240	0.015185	0.000444	0.010015	0.687080	0.010015	22763	1561678	0.015185	9.942411	
family	Streptomycetaceae	2062	667033	47437004	930666	2154426	22.018396	19.270016	0.563353	0.140289	0.825164	0.549153	2610906	15357015	19.270016	0.906082	
family	Bradyrhizobiaceae	41294	90772	8123503	214043	2211715	3.672943	3.424385	0.100111	0.099344	0.698208	0.611453	3167703	22263301	3.424385	0.797151	
family	Siphoviridae	10699	874	69225	1982	11806	5.863544	3.233062	0.094518	0.165770	0.825075	0.481577	14309	71219	3.233062	1.037550	
family	Micromonosporaceae	28056	82511	6291656	165350	1307416	4.812283	2.018648	0.059015	0.419478	0.805541	0.419478	1623029	3116767	2.018648	1.176399	
family	Thermomonosporaceae	2012	48142	3123771	107005	478111	6.533569	1.144520	0.033460	0.036144	0.654746	0.051236	730224	13227871	1.144520	4.303213	
family	Nitrosomonadaceae	206379	26287	2811549	78931	1268910	2.215720	0.975598	0.028521	0.215895	0.659516	0.373453	1924003	5877450	0.975598	1.295266	
family	Mycobacteriaceae	1762	13424	1044875	36640	496204	2.105737	0.665083	0.019443	0.029744	0.615691	0.080988	805930	16682309	0.665083	3.368596	
family	Nocardiaceae	85025	23152	1701501	59255	796229	2.136949	0.526484	0.015392	0.046937	0.636478	0.183319	1250993	16963665	0.526484	2.110684	
family	Pseudomonadaceae	135621	3508	282090	4371	184467	1.529217	0.403110	0.011785	0.020431	0.577242	0.032188	319566	9028988	0.403110	5.483383	
family	Rhodobacteraceae	31989	5840	438365	1673	269404	1.627166	0.314342	0.009190	0.098784	0.752435	0.180048	358043	2727200	0.314342	2.134030	
family	Hyphomicrobiaceae	45401	10581	927384	33527	551643	1.681131	0.305458	0.008930	0.063884	0.578734	0.156082	953189	8635007	0.305458	2.325270	
family	Sphingomonadaceae	41297	7074	582365	15398	398753	1.460466	0.285030	0.008333	0.027273	0.593081	0.071524	672341	14620776	0.285030	3.602972	
family	Rhodanobacteraceae	1775411	4438	353699	7704	229066	1.544092	0.197295	0.005768	0.039568	0.621137	0.095405	368785	5789137	0.197295	3.079233	
family	Comamonadaceae	80864	3032	243011	4906	160901	1.510314	0.183853	0.005375	0.067395	0.676532	0.075051	237832	2387423	0.183853	3.510584	
family	Xanthomonadaceae	32033	3010	193614	6261	86856	2.229138	0.146051	0.004270	0.032157	0.637569	0.033416	136230	2700974	0.146051	5.378254	
family	Flavobacteriaceae	49546	2940	218211	8959	62178	3.509457	0.129252	0.003779	0.018689	0.621743	0.025581	100006	3326988	0.129252	6.171871	
family	Chitinophagaceae	563835	7092	677219	29371	480892	1.408256	0.116501	0.003406	0.029608	0.452845	0.040155	1061935	16241994	0.116501	4.889147	
family	Caulobacteraceae	76892	3227	268238	11663	171458	1.564453	0.103619	0.003029	0.034600	0.472968	0.045502	362515	4955466	0.103619	4.580046	
family	Nocardioidaceae	85015	2093	179736	2507	96854	1.855742	0.094173	0.002753	0.026080	0.654875	0.034287	147897	3713795	0.094173	5.307106	
family	Microbacteriaceae	85023	1038	74319	794	51201	1.451515	0.091397	0.002672	0.017016	0.690599	0.037710	74140	3009067	0.091397	5.051563	
family	Enterobacteriaceae	543	116	9852	101	7193	1.369665	0.084826	0.002480	0.015230	0.646039	0.019111	11134	472286	0.084826	7.164191	
family	Oxalobacteraceae	75682	3931	286877	10177	168140	1.706179	0.080589	0.002356	0.047234	0.604138	0.047234	278314	3559754	0.080589	4.491255	
family	Pseudonocardiaceae	2070	4305	274677	9840	121354	2.263436	0.062987	0.001841	0.027828	0.624188	0.027828	194419	4360868	0.062987	5.910592	
family	Micrococcaceae	1268	1886	162093	1065	109311	1.482861	0.061590	0.001801	0.041535	0.642923	0.041535	170022	2631792	0.061590	4.803768	
family	Opitutaceae	134623	2468	176440	8194	72861	2.421597	0.061505	0.001798	0.025399	0.536630	0.025399	135775	2868688	0.061505	6.194519	
family	Phyllobacteriaceae	69277	1740	135662	4301	90624	1.496977	0.049704	0.001453	0.017098	0.512733	0.019123	176747	5300321	0.049704	7.162000	
family	Rhizobiaceae	82115	1580	105280	3774	66260	1.588892	0.033997	0.000994	0.021396	0.588617	0.021396	112569	3096784	0.033997	6.762903	
family	Myxococcaceae	31	2058	177726	3030	125328	1.418087	0.030938	0.000904	0.021816	0.616741	0.021816	203210	5744644	0.030938	6.696034	
family	Sinobacteraceae	568386	1263	89954	3722	56974	1.578861	0.030707	0.000898	0.019449	0.587470	0.019449	96982	2929428	0.030707	7.100488	
family	Reyranella - no_f_rank	0	1528	106742	5247	63999	1.667870	0.028834	0.000843	0.017288	0.505186	0.017288	126684	3701975	0.028834	7.539513	
family	Enhydrobacter - no_f_rank	0	1162	84217	3546	49373	1.705730	0.018868	0.000552	0.011061	0.485467	0.011061	101702	4463506	0.018868	9.455357	
family	Vicinamibacteraceae	2211325	1194	104493	5363	67894	1.539061	0.018356	0.000537	0.011926	0.423034	0.011926	160493	5692709	0.018356	9.102033	
family	Deinococcaceae	183710	313	23714	231	15640	1.516240	0.015185	0.000444	0.010015	0.687080	0.010015	22763	1561678	0.015185	9.942411	
genus	Streptomyces	1883	667033	47437004	930666	2154426	22.018396	19.270016	0.563353	0.140289	0.825164	0.549153	2610906	15357015	19.270016	0.906082	
genus	R4virus	1982881	874	69225	1982	11806	5.863544	3.233062	0.094518	0.165770	0.825075	0.481577	14309	71219	3.233062	1.037550	
genus	Nitrobacter	911	82300	7417569	199142	1727521	4.293765	3.155381	0.092247	0.247982	0.752737	0.611453	2294985	6966320	3.155381	0.797151	
genus	Actinocatenispora	390988	82511	6291656	165350	1307416	4.812283	2.018648	0.059015	0.419478	0.805541	0.419478	1623029	3116767	2.018648	1.176399	
genus	Actinomadura	1988	48142	3123771	107005	478111	6.533569	1.144520	0.033460	0.036144	0.654746	0.051236	730224	13227871	1.144520	4.303213	
genus	Nitrosomonas	914	26287	2811549	78931	1268910	2.215720	0.975598	0.028521	0.215895	0.659516	0.373453	1924003	5877450	0.975598	1.295266	
genus	Mycobacterium	1763	11711	908585	33230	407232	2.231124	0.569768	0.016657	0.038083	0.616876	0.080988	660152	10693252	0.569768	3.368596	
genus	Nocardia	1817	22940	1676874	59041	779148	2.152189	0.494042	0.014443	0.050405	0.647020	0.183319	1204211	15457889	0.494042	2.110684	
genus	Pseudomonas	286	3508	282090	4371	184467	1.529217	0.403110	0.011785	0.020431	0.577242	0.032188	319566	9028988	0.403110	5.483383	
genus	Paracoccus	265	5840	438365	1673	269404	1.627166	0.314342	0.009190	0.098784	0.752435	0.180048	358043	2727200	0.314342	2.134030	
genus	Devosia	46913	10581	927384	33527	551643	1.681131	0.305458	0.008930	0.063884	0.578734	0.156082	953189	8635007	0.305458	2.325270	
genus	Rhodanobacter	75309	4438	353699	7704	229066	1.544092	0.197295	0.005768	0.039568	0.621137	0.095405	368785	5789137	0.197295	3.079233	
genus	Bosea	85413	4738	396410	4599	273775	1.447941	0.159872	0.004674	0.053820	0.630959	0.066375	433903	5086883	0.159872	3.750461	
genus	Novosphingobium	165696	4082	331523	9388	228088	1.453487	0.133444	0.003901	0.028520	0.600197	0.052053	380022	7997449	0.133444	4.267446	
genus	Flavobacterium	237	2940	218211	8959	62178	3.509457	0.129252	0.003779	0.018689	0.621743	0.025581	100006	3326988	0.129252	6.171871	
genus	Sphingopyxis	165697	2229	183057	3852	124649	1.468580	0.120675	0.003528	0.054233	0.630518	0.071524	197693	2298394	0.120675	3.602972	
genus	Acidovorax	12916	2881	229930	4664	152777	1.505004	0.112953	0.003302	0.075051	0.677338	0.075051	225555	2035631	0.112953	3.510584	
genus	Afipia	1033	2745	232083	7113	154030	1.506739	0.094467	0.002762	0.031248	0.484549	0.034280	317883	4929273	0.094467	5.307661	
genus	Nocardioides	1839	2093	179736	2507	96854	1.855742	0.094173	0.002753	0.026080	0.654875	0.034287	147897	3713795	0.094173	5.307106	
genus	Microbacterium	33882	1038	74319	794	51201	1.451515	0.091397	0.002672	0.017016	0.690599	0.037710	74140	3009067	0.091397	5.051563	
genus	Thermomonas	141948	1849	112765	3604	38254	2.947796	0.090463	0.002645	0.030688	0.668694	0.030688	57207	1246529	0.090463	5.620105	
genus	Massilia	149698	3931	286877	10177	168140	1.706179	0.080589	0.002356	0.047234	0.604138	0.047234	278314	3559754	0.080589	4.491255	
genus	Mycobacteroides	670516	1155	94243	1977	60356	1.561452	0.078784	0.002303	0.017517	0.623918	0.020785	96737	3445563	0.078784	6.863870	
genus	Asticcacaulis	76890	2295	200262	9562	125223	1.599243	0.072770	0.002127	0.045502	0.440357	0.045502	284367	2752003	0.072770	4.580046	
genus	Hydrogenophaga	47420	151	13081	242	8124	1.610167	0.070900	0.002073	0.023093	0.661725	0.025933	12277	351792	0.070900	6.128729	
genus	Pseudonocardia	1847	4305	274677	9840	121354	2.263436	0.062987	0.001841	0.027828	0.624188	0.027828	194419	4360868	0.062987	5.910592	
genus	Pseudarthrobacter	1742993	1886	162093	1065	109311	1.482861	0.061590	0.001801	0.041535	0.642923	0.041535	170022	2631792	0.061590	4.803768	
genus	Lacunisphaera	1961799	2468	176440	8194	72861	2.421597	0.061505	0.001798	0.025399	0.536630	0.025399	135775	2868688	0.061505	6.194519	
genus	Niastella	354354	3888	351791	16210	246701	1.425981	0.057260	0.001674	0.040155	0.473719	0.040155	520775	6143781	0.057260	4.889147	
genus	Luteimonas	83614	1161	80849	2657	48602	1.663491	0.055588	0.001625	0.033416	0.615036	0.033416	79023	1454445	0.055588	5.378254	
genus	Mesorhizobium	68287	1740	135662	4301	90624	1.496977	0.049704	0.001453	0.017098	0.512733	0.019123	176747	5300321	0.049704	7.162000	
genus	Enterobacter	547	24	2286	35	1664	1.373798	0.042953	0.001256	0.014807	0.600072	0.019111	2773	112378	0.042953	7.164191	
genus	Leclercia	83654	92	7566	66	5529	1.368421	0.041873	0.001224	0.015362	0.661285	0.015664	8361	359908	0.041873	7.927295	
genus	Chitinophaga	79328	2373	251663	9834	181183	1.388999	0.037796	0.001105	0.027211	0.419234	0.027211	432176	6658472	0.037796	5.979129	
genus	Shinella	323620	1580	105280	3774	66260	1.588892	0.033997	0.000994	0.021396	0.588617	0.021396	112569	3096784	0.033997	6.762903	
genus	Rhodococcus	1827	212	24627	214	17081	1.441777	0.032441	0.000948	0.011344	0.365119	0.011650	46782	1505776	0.032441	9.210655	
genus	Myxococcus	32	2058	177726	3030	125328	1.418087	0.030938	0.000904	0.021816	0.616741	0.021816	203210	5744644	0.030938	6.696034	
genus	Sphingobium	165695	763	67785	2158	46016	1.473075	0.030911	0.000904	0.010640	0.486293	0.011139	94626	4324933	0.030911	9.422148	
genus	Caulobacter	75	932	67976	2101	46235	1.470228	0.030850	0.000902	0.020983	0.591634	0.020983	78148	2203463	0.030850	6.830659	
genus	Solimonas	413435	1263	89954	3722	56974	1.578861	0.030707	0.000898	0.019449	0.587470	0.019449	96982	2929428	0.030707	7.100488	
genus	Reyranella	445219	1528	106742	5247	63999	1.667870	0.028834	0.000843	0.017288	0.505186	0.017288	126684	3701975	0.028834	7.539513	
genus	Parafilimonas	1649476	831	73765	3327	53008	1.391582	0.021445	0.000627	0.015410	0.486383	0.015410	108984	3439741	0.021445	7.993183	
genus	Enhydrobacter	212791	1162	84217	3546	49373	1.705730	0.018868	0.000552	0.011061	0.485467	0.011061	101702	4463506	0.018868	9.455357	
genus	Luteitalea	2004797	1194	104493	5363	67894	1.539061	0.018356	0.000537	0.011926	0.423034	0.011926	160493	5692709	0.018356	9.102033	
genus	Mycolicibacterium	1866885	558	42047	1433	28616	1.469353	0.016531	0.000483	0.011251	0.583512	0.011251	49041	2543494	0.016531	9.374627	
genus	Deinococcus	1298	313	23714	231	15640	1.516240	0.015185	0.000444	0.010015	0.687080	0.010015	22763	1561678	0.015185	9.942411	
genus	Bradyrhizobium	374	989	77441	3189	56389	1.373335	0.014665	0.000429	0.010678	0.466287	0.010678	120932	5280825	0.014665	9.625483	
species	Streptomyces griseofuscus	146922	635620	45228655	868886	1465217	30.868230	16.951393	0.495568	0.549153	0.899195	0.549153	1629477	2668138	16.951393	0.906082	
species	Streptomyces phage Daudau	2041206	824	66420	1906	10992	6.042576	2.909967	0.085072	0.481577	0.839276	0.481577	13097	22825	2.909967	1.037550	
species	Nitrobacter vulgaris	29421	74379	6793014	171941	1430515	4.748649	2.903574	0.084885	0.611453	0.832265	0.611453	1718822	2339535	2.903574	0.797151	
species	Actinocatenispora sera	390989	82511	6291656	165350	1307416	4.812283	2.018648	0.059015	0.419478	0.805541	0.419478	1623029	3116767	2.018648	1.176399	
species	Streptomyces pactum	68249	5787	508397	14642	43997	11.555265	1.116093	0.032629	0.096587	0.849133	0.096587	51814	455515	1.116093	3.058320	
species	Nitrosomonas communis	44574	23528	2585816	70848	1196904	2.160421	0.806815	0.023587	0.373453	0.663502	0.373453	1803920	3204968	0.806815	1.295266	
species	Nocardia mikamii	508464	18167	1359327	46744	595348	2.283248	0.418562	0.012237	0.183319	0.680778	0.183319	874511	3247615	0.418562	2.110684	
species	Streptomyces sampsonii	42239	764	49920	1090	3979	12.545866	0.378968	0.011079	0.030207	0.767110	0.030207	5187	131726	0.378968	5.666154	
species	Paracoccus aminovorans	34004	5840	438365	1673	269404	1.627166	0.314342	0.009190	0.098784	0.752435	0.180048	358043	2727200	0.314342	2.134030	
species	Actinomadura madurae	1993	15830	1018862	37867	121201	8.406383	0.288903	0.008446	0.034367	0.662797	0.034367	182863	3526661	0.288903	5.300719	
species	Pseudomonas putida	303	2811	227143	3661	149666	1.517666	0.285364	0.008343	0.024957	0.583892	0.032188	256325	5996878	0.285364	5.483383	
species	Streptomyces paucisporeus	310782	13061	843962	27122	249761	3.379078	0.283608	0.008291	0.083930	0.686528	0.083930	363803	2975809	0.283608	3.303729	
species	Actinomadura latina	163603	9076	606979	19132	88368	6.868765	0.279331	0.008166	0.040667	0.639352	0.040667	138215	2172971	0.279331	4.856956	
species	Actinomadura mexicana	134959	11972	795029	27694	150608	5.278797	0.270463	0.007907	0.051236	0.657648	0.051236	229010	2939513	0.270463	4.303213	
species	Devosia riboflavina	46914	8888	811564	30127	479998	1.690765	0.263898	0.007715	0.156082	0.582302	0.156082	824311	3075290	0.263898	2.325270	
species	Mycobacterium conspicuum	44010	5913	425401	18213	197946	2.149076	0.174050	0.005088	0.080988	0.595547	0.080988	332377	2444126	0.174050	3.368596	
species	Nitrobacter hamburgensis	912	5854	469098	19787	231527	2.026105	0.162070	0.004738	0.079991	0.521766	0.079991	443737	2894419	0.162070	3.391376	
species	Actinomadura meyerae	240840	6123	382220	11435	85099	4.491475	0.161591	0.004724	0.035977	0.649041	0.035977	131115	2365355	0.161591	5.176421	
species	Rhodanobacter spathiphylli	347483	3242	255662	5553	163320	1.565405	0.149347	0.004366	0.095405	0.649089	0.095405	251614	1711867	0.149347	3.079233	
species	Streptomyces sp. CdTB01	1725411	6539	410944	12810	158507	2.592592	0.146185	0.004274	0.056386	0.689614	0.056386	229849	2811117	0.146185	4.090840	
species	Actinomadura formosensis	60706	5141	320681	10877	32835	9.766438	0.144232	0.004217	0.014768	0.669815	0.014768	49021	2223371	0.144232	8.167830	
species	Streptomyces albus	1888	189	19085	840	5617	3.397721	0.143498	0.004195	0.042234	0.624250	0.042234	8998	132998	0.143498	4.762118	
species	Nitrosomonas sp. AL212	153948	2036	173041	6199	56769	3.048160	0.129285	0.003780	0.042414	0.616880	0.042414	92026	1338449	0.129285	4.751538	
species	Streptomyces virus R4	1982894	3	244	13	150	1.626667	0.129032	0.003772	0.079323	0.433526	0.079323	346	1891	0.129032	3.406856	
species	Mycobacterium mantenii	560555	2806	234745	7117	97402	2.410063	0.127200	0.003719	0.052779	0.637727	0.052779	152733	1845476	0.127200	4.236390	
species	Streptomyces griseoaurantiacus	68213	3808	278422	2769	172588	1.613218	0.124399	0.003637	0.077113	0.749998	0.077113	230118	2238128	0.124399	3.459485	
species	Acidovorax sp. KKS102	358220	2881	229930	4664	152777	1.505004	0.112953	0.003302	0.075051	0.677338	0.075051	225555	2035631	0.112953	3.510584	
species	Sphingopyxis terrae	33052	2123	172928	3545	117569	1.470864	0.105201	0.003076	0.071524	0.647460	0.071524	181585	1643780	0.105201	3.602972	
species	Mycobacterium intracellulare	1767	134	10218	394	4738	2.156606	0.101980	0.002981	0.021201	0.640963	0.028602	7392	223477	0.101980	5.827730	
species	Bosea robiniae	1036780	2619	211753	3188	147102	1.439498	0.095546	0.002793	0.066375	0.637835	0.066375	230627	2216232	0.095546	3.750461	
species	Thermomonas fusca	215690	1849	112765	3604	38254	2.947796	0.090463	0.002645	0.030688	0.668694	0.030688	57207	1246529	0.090463	5.620105	
species	Nitrobacter winogradskyi	913	2067	155457	7414	65479	2.374150	0.089737	0.002623	0.037797	0.494457	0.037797	132426	1732366	0.089737	5.045475	
species	Massilia putida	1141883	3931	286877	10177	168140	1.706179	0.080589	0.002356	0.047234	0.604138	0.047234	278314	3559754	0.080589	4.491255	
species	Novosphingobium subterraneum	48936	2030	157745	3947	106601	1.479770	0.077027	0.002252	0.052053	0.665462	0.052053	160191	2047922	0.077027	4.267446	
species	Flavobacterium suncheonense	350894	1865	137357	6201	23142	5.935399	0.076267	0.002230	0.012850	0.511968	0.012850	45202	1800993	0.076267	8.764905	
species	Asticcacaulis taihuensis	260084	2295	200262	9562	125223	1.599243	0.072770	0.002127	0.045502	0.440357	0.045502	284367	2752003	0.072770	4.580046	
species	Streptomyces phage SqueakyClean	2041208	26	1596	43	350	4.560000	0.068698	0.002008	0.015065	0.859951	0.015065	407	23232	0.068698	8.085613	
species	Bosea sp. AS-1	2015316	2119	184657	1411	126673	1.457746	0.064326	0.001881	0.044127	0.623158	0.044127	203276	2870651	0.064326	4.654235	
species	Streptomyces phage Tefunt	2041209	11	480	6	149	3.221477	0.063720	0.001863	0.019780	0.805405	0.019780	185	7533	0.063720	7.039677	
species	Pseudonocardia acaciae	551276	4305	274677	9840	121354	2.263436	0.062987	0.001841	0.027828	0.624188	0.027828	194419	4360868	0.062987	5.910592	
species	Nocardioides halotolerans	433660	1558	126490	2322	68941	1.834757	0.062909	0.001839	0.034287	0.638792	0.034287	107924	2010690	0.062909	5.307106	
species	Pseudarthrobacter chlorophenolicus	85085	1886	162093	1065	109311	1.482861	0.061590	0.001801	0.041535	0.642923	0.041535	170022	2631792	0.061590	4.803768	
species	Lacunisphaera limnophila	1838286	2468	176440	8194	72861	2.421597	0.061505	0.001798	0.025399	0.536630	0.025399	135775	2868688	0.061505	6.194519	
species	Niastella koreensis	354356	3888	351791	16210	246701	1.425981	0.057260	0.001674	0.040155	0.473719	0.040155	520775	6143781	0.057260	4.889147	
species	Luteimonas mephitis	83615	1161	80849	2657	48602	1.663491	0.055588	0.001625	0.033416	0.615036	0.033416	79023	1454445	0.055588	5.378254	
species	Microbacterium sp. PAMC 28756	1795053	503	31008	227	21239	1.459956	0.055055	0.001610	0.037710	0.787768	0.037710	26961	563222	0.055055	5.051563	
species	Mycobacterium lentiflavum	141349	1465	146735	4778	58957	2.488848	0.055002	0.001608	0.022099	0.637373	0.022099	92500	2667821	0.055002	6.652089	
species	Flavobacterium seoulense	1492738	1075	80854	2758	39036	2.071268	0.052984	0.001549	0.025581	0.712284	0.025581	54804	1525995	0.052984	6.171871	
species	Afipia clevelandensis	1034	1347	114811	1591	79247	1.448774	0.049664	0.001452	0.034280	0.584624	0.034280	135552	2311735	0.049664	5.307661	
species	Mycobacteroides chelonae	1774	318	26134	369	13671	1.911638	0.048462	0.001417	0.011398	0.618821	0.013607	22092	1199421	0.048462	8.514046	
species	Afipia felis	1035	1398	117272	5522	74783	1.568164	0.044802	0.001310	0.028570	0.410150	0.028570	182331	2617538	0.044802	5.831104	
species	Enterobacter cloacae	550	24	2286	35	1664	1.373798	0.042953	0.001256	0.014807	0.600072	0.019111	2773	112378	0.042953	7.164191	
species	Hydrogenophaga intermedia	65786	111	9332	180	5740	1.625784	0.042161	0.001233	0.025933	0.651976	0.025933	8804	221342	0.042161	6.128729	
species	Nitrosomonas ureae	44577	723	52692	1884	15237	3.458161	0.039498	0.001155	0.011422	0.543073	0.011422	28057	1334033	0.039498	9.303344	
species	Chitinophaga rupis	573321	2373	251663	9834	181183	1.388999	0.037796	0.001105	0.027211	0.419234	0.027211	432176	6658472	0.037796	5.979129	
